program_name,required_subjects,expanded_score_dict,group,score_dict
國立嘉義大學 應用經濟學系,"['國', '英', '數B']","{'國': 11, '英': 9, '數B': 6}",財經,"{'國': 11.404915769751332, '英': 9.419471177393666, '數B': 6.472138766472286}"
國立嘉義大學 教育學系,"['國', '數B']","{'國': 13, '數B': 6}",教育,"{'國': 13.0, '數B': 6.0}"
國立嘉義大學 數位學習設計與管理學系,"['國', '國英']","{'國': 10, '英': 10}",建築設計,"{'國': 9.662394168554115, '國英': 19.2}"
國立嘉義大學 景觀學系,['國英自社'],"{'國': 8, '英': 8, '自': 8, '社': 8}",建築設計,{'國英自社': 34.0}
國立嘉義大學 木質材料與設計學系,['自'],{'自': 9},工程,{'自': 8.996887865513624}
國立嘉義大學 森林暨自然資源學系,"['國', '英', '自']","{'國': 8, '英': 5, '自': 12}",數理化,"{'國': 7.912879468300497, '英': 4.696607291834101, '自': 11.743424815457448}"
國立嘉義大學 植物醫學系,"['英', '自']","{'英': 5, '自': 10}",醫藥衛生,"{'英': 5.106941384403068, '自': 10.0}"
國立嘉義大學 機械與能源工程學系,['數A自'],"{'數A': 10, '自': 10}",工程,{'數A自': 21.0}
國立嘉義大學 水生生物科學系,"['英', '自']","{'英': 8, '自': 7}",生物資源,"{'英': 7.66362717427051, '自': 7.35786881040356}"
國立嘉義大學 特殊教育學系,"['國', '英']","{'國': 11, '英': 6}",教育,"{'國': 11.357116333263962, '英': 5.694495305653377}"
國立嘉義大學 獸醫學系,"['英', '自', '國英數A自']","{'英': 12, '自': 12, '國': 12, '數A': 12}",醫藥衛生,"{'英': 12.047941400053674, '自': 13.0, '國英數A自': 48.744972401848486}"
國立嘉義大學 生化科技學系,"['國', '英', '自']","{'國': 9, '英': 5, '自': 12}",工程,"{'國': 8.61807715648294, '英': 5.0864083932695525, '自': 12.000153055794412}"
國立嘉義大學 生物機電工程學系,"['英', '數A', '自']","{'英': 9, '數A': 4, '自': 11}",工程,"{'英': 8.66858087348474, '數A': 4.007942350283867, '自': 10.665831864579918}"
國立嘉義大學 生物資源學系,"['英', '自']","{'英': 3, '自': 11}",生物資源,"{'英': 2.925224649694972, '自': 11.485826672442457}"
國立嘉義大學 科技管理學系,['國英數B'],"{'國': 10, '英': 10, '數B': 10}",工程,{'國英數B': 29.957250064395406}
國立嘉義大學 行銷與觀光管理學系,"['國', '英']","{'國': 7, '英': 8}",管理,"{'國': 7.0, '英': 8.13472794253749}"
國立嘉義大學 財務金融學系,"['國', '英數B']","{'國': 8, '英': 10, '數B': 10}",管理,"{'國': 7.847083837390373, '英數B': 21.0}"
國立嘉義大學 資訊工程學系,['國英數A'],"{'國': 11, '英': 11, '數A': 11}",工程,{'國英數A': 32.606505077137015}
國立嘉義大學 資訊管理學系,"['國', '英', '數B']","{'國': 9, '英': 10, '數B': 10}",資訊,"{'國': 9.41842621422002, '英': 10.432443973885384, '數B': 10.15575040888812}"
國立嘉義大學 資訊管理學系(資安組),"['國', '英', '數B']","{'國': 12, '英': 8, '數B': 8}",資訊,"{'國': 12.40298761178572, '英': 8.0, '數B': 7.735452551914877}"
國立嘉義大學 輔導與諮商學系,"['國', '英']","{'國': 13, '英': 8}",社會心理,"{'國': 13.0, '英': 8.334447374787224}"
國立嘉義大學 農業生物科技學系,"['自', '國英']","{'自': 8, '國': 9, '英': 9}",工程,"{'自': 8.232942430703625, '國英': 18.59289155826289}"
國立嘉義大學 農藝學系,['自'],{'自': 9},生物資源,{'自': 9.0}
國立嘉義大學 電子物理學系,"['數A', '自']","{'數A': 10, '自': 11}",資訊,"{'數A': 9.658363955499672, '自': 10.70324813933591}"
國立嘉義大學 電機工程學系,['英數A自'],"{'英': 11, '數A': 11, '自': 11}",工程,{'英數A自': 33.38208673969713}
國立嘉義大學 食品科學系,['自'],{'自': 10},生物資源,{'自': 9.743702932065226}
國立宜蘭大學 休閒產業與健康促進學系,"['英', '國英社']","{'英': 8, '國': 8, '社': 8}",遊憩運動,"{'英': 6.338203534226636, '國英社': 23.59754522639073}"
國立宜蘭大學 化學工程與材料工程學系,"['數A', '自']","{'數A': 6, '自': 11}",工程,"{'數A': 6.495385197053183, '自': 11.3347640870064}"
國立宜蘭大學 園藝學系,"['國', '英', '自']","{'國': 8, '英': 4, '自': 9}",生物資源,"{'國': 8.12193691315283, '英': 4.313210314072573, '自': 8.998484576211258}"
國立宜蘭大學 土木工程學系,"['數A', '自']","{'數A': 9, '自': 9}",工程,"{'數A': 8.75, '自': 8.75}"
國立宜蘭大學 外國語文學系,"['英', '國英社']","{'英': 10, '國': 10, '社': 10}",文史哲,"{'英': 10.312348253528176, '國英社': 30.0}"
國立宜蘭大學 應用經濟與管理學系,"['英', '國數B社']","{'英': 9, '國': 10, '數B': 10, '社': 10}",管理,"{'英': 9.0, '國數B社': 30.0}"
國立宜蘭大學 森林暨自然資源學系,"['自', '國英']","{'自': 9, '國': 7, '英': 7}",數理化,"{'自': 9.0, '國英': 14.5}"
國立宜蘭大學 機械與機電工程學系,"['國', '數A', '自']","{'國': 9, '數A': 10, '自': 8}",工程,"{'國': 9.48996010839451, '數A': 9.75, '自': 7.933447298597855}"
國立宜蘭大學 環境工程學系,"['國', '數A', '自']","{'國': 10, '數A': 8, '自': 9}",工程,"{'國': 10.0, '數A': 8.20929269256362, '自': 9.014282574174628}"
國立宜蘭大學 生物技術與動物科學系,"['英', '自']","{'英': 7, '自': 10}",生物資源,"{'英': 7.164251557338785, '自': 10.325210115126277}"
國立宜蘭大學 生物機電工程學系,"['國', '自']","{'國': 8, '自': 9}",工程,"{'國': 8.0, '自': 8.656216601353758}"
國立宜蘭大學 資訊工程學系,"['英', '數A']","{'英': 9, '數A': 7}",工程,"{'英': 9.28445114527467, '數A': 6.9234128337331615}"
國立宜蘭大學 電子工程學系,"['數A', '自']","{'數A': 8, '自': 9}",工程,"{'數A': 7.660397105720327, '自': 9.074194260679388}"
國立宜蘭大學 電機工程學系,"['數A', '自']","{'數A': 9, '自': 5}",工程,"{'數A': 8.576698965023954, '自': 5.313130437310587}"
國立宜蘭大學 食品科學系,"['英', '自']","{'英': 5, '自': 8}",生物資源,"{'英': 5.336187863584135, '自': 8.071665482113236}"
國立屏東大學 不動產經營學系,"['國', '社']","{'國': 12, '社': 12}",管理,"{'國': 12.5, '社': 12.5}"
國立屏東大學 中國語文學系,"['國', '國英社']","{'國': 10, '英': 10, '社': 10}",文史哲,"{'國': 11.0, '國英社': 30.53812279261508}"
國立屏東大學 企業管理學系,['英'],{'英': 10},管理,{'英': 9.792293289715005}
國立屏東大學 休閒事業經營學系,['英數B'],"{'英': 2, '數B': 2}",遊憩運動,{'英數B': 5.0}
國立屏東大學 商業大數據學系,['英'],{'英': 6},管理,{'英': 6.0}
國立屏東大學 國際經營與貿易學系,['國英數B社'],"{'國': 8, '英': 8, '數B': 8, '社': 8}",管理,{'國英數B社': 31.0}
國立屏東大學 幼兒教育學系,"['國', '英', '社']","{'國': 11, '英': 9, '社': 9}",教育,"{'國': 11.0, '英': 8.7, '社': 8.7}"
國立屏東大學 應用化學系,"['數A', '自']","{'數A': 8, '自': 9}",數理化,"{'數A': 8.334959190855864, '自': 9.02995697126316}"
國立屏東大學 應用數學系,['數A'],{'數A': 9},數理化,{'數A': 9.328562505009009}
國立屏東大學 應用日語學系,['國'],{'國': 12},外語,{'國': 12.0}
國立屏東大學 應用物理系光電暨材料組,"['數A', '自']","{'數A': 9, '自': 9}",工程,"{'數A': 9.060172303806691, '自': 8.671814431107567}"
國立屏東大學 應用物理系半導體組,"['數A', '自']","{'數A': 9, '自': 10}",工程,"{'數A': 9.294832706220316, '自': 10.0}"
國立屏東大學 應用英語學系,['英'],{'英': 10},未分類,{'英': 10.38339859481407}
國立屏東大學 教育學系,"['國', '英', '數B']","{'國': 11, '英': 8, '數B': 3}",教育,"{'國': 11.0, '英': 8.31655125978083, '數B': 2.8900510093823395}"
國立屏東大學 教育心理與輔導學系,['國英數B社'],"{'國': 10, '英': 10, '數B': 10, '社': 10}",社會心理,{'國英數B社': 40.96411873701712}
國立屏東大學 文化創意產業學系,"['國', '社']","{'國': 11, '社': 12}",文史哲,"{'國': 10.66880291572294, '社': 11.989866504122594}"
國立屏東大學 智慧機器人學系,['自'],{'自': 10},未分類,{'自': 10.0}
國立屏東大學 會計學系,"['英', '數B']","{'英': 7, '數B': 9}",管理,"{'英': 6.584368264533969, '數B': 8.639208997726035}"
國立屏東大學 特殊教育學系,['國'],{'國': 8},教育,{'國': 8.142857142857142}
國立屏東大學 社會發展學系,['國英社'],"{'國': 10, '英': 10, '社': 10}",社會心理,{'國英社': 30.75196802671264}
國立屏東大學 科學傳播學系,['英自'],"{'英': 7, '自': 7}",大眾傳播,{'英自': 14.538224784665156}
國立屏東大學 英語學系,['英'],{'英': 11},未分類,{'英': 10.626224697298536}
國立屏東大學 行銷與流通管理學系,['國英數B'],"{'國': 9, '英': 9, '數B': 9}",管理,{'國英數B': 26.0}
國立屏東大學 財務金融學系,['國英數B社'],"{'國': 11, '英': 11, '數B': 11, '社': 11}",管理,{'國英數B社': 42.44418743593361}
國立屏東大學 資訊工程學系,"['國', '英數A', '國英數A']","{'國': 7, '英': 7, '數A': 7}",工程,"{'國': 11.66483158590274, '英數A': 14.763706191998374, '國英數A': 22.01583845036011}"
國立屏東大學 資訊管理學系,"['國英', '數B']","{'國': 9, '英': 9, '數B': 7}",資訊,"{'國英': 17.333333333333332, '數B': 7.402614261357814}"
國立屏東大學 電腦科學與人工智慧學系,['數A'],{'數A': 10},資訊,{'數A': 9.997652979645691}
國立屏東大學 電腦與通訊學系,"['國', '英數A', '國英數A']","{'國': 7, '英': 7, '數A': 7}",資訊,"{'國': 11.0, '英數A': 13.667676292673306, '國英數A': 19.94036126470322}"
國立彰化師範大學 企業管理學系,"['國', '英']","{'國': 12, '英': 10}",管理,"{'國': 11.679320754450272, '英': 10.06961708099978}"
國立彰化師範大學 公共事務與公民教育學系公共事務組,"['英', '社', '國英社']","{'英': 11, '社': 11, '國': 11}",法政,"{'英': 10.02255345216068, '社': 13.0, '國英社': 33.5}"
國立彰化師範大學 公共事務與公民教育學系公民教育組,"['英', '社', '國英社']","{'英': 11, '社': 11, '國': 11}",法政,"{'英': 10.120364689027378, '社': 13.0, '國英社': 33.5}"
國立彰化師範大學 化學系,['英數A自'],"{'英': 11, '數A': 11, '自': 11}",數理化,{'英數A自': 33.0}
國立彰化師範大學 國文學系,"['國', '社']","{'國': 13, '社': 11}",文史哲,"{'國': 13.0, '社': 11.321270069378611}"
國立彰化師範大學 地理學系,"['英', '數B', '社']","{'英': 4, '數B': -1, '社': 13}",地球環境,"{'英': 4.491588189488613, '數B': -0.5902066475810068, '社': 13.02944967414532}"
國立彰化師範大學 數學系,"['英', '數A', '國英數A自']","{'英': 6, '數A': 6, '國': 6, '自': 6}",數理化,"{'英': 4.174724463805378, '數A': 12.0, '國英數A自': 25.64408050940015}"
國立彰化師範大學 會計學系,"['國', '英']","{'國': 12, '英': 10}",管理,"{'國': 12.386035582627176, '英': 9.76022329364794}"
國立彰化師範大學 機電工程學系,"['數A', '自']","{'數A': 9, '自': 9}",工程,"{'數A': 8.93388257582036, '自': 9.0}"
國立彰化師範大學 物理學系光電組,"['數A', '自']","{'數A': 11, '自': 11}",資訊,"{'數A': 10.594855013681071, '自': 10.743702932065226}"
國立彰化師範大學 物理學系物理組,"['數A', '自']","{'數A': 10, '自': 11}",數理化,"{'數A': 9.576698965023954, '自': 10.66029839700353}"
國立彰化師範大學 特殊教育學系,"['國', '英']","{'國': 13, '英': 11}",教育,"{'國': 12.912996514544831, '英': 10.687330356926193}"
國立彰化師範大學 生物學系,"['英', '自']","{'英': 11, '自': 11}",生物資源,"{'英': 10.661796465773364, '自': 10.580382108198132}"
國立彰化師範大學 英語學系,"['國社', '英']","{'國': 13, '社': 13, '英': 14}",未分類,"{'國社': 26.666666666666668, '英': 13.588585591646485}"
國立彰化師範大學 資訊工程學系,['英數A自'],"{'英': 12, '數A': 12, '自': 12}",工程,{'英數A自': 35.0}
國立彰化師範大學 資訊管理學系數位內容科技與管理組,"['英', '數A', '國英數A']","{'英': 9, '數A': 9, '國': 9}",工程,"{'英': 10.909485567398526, '數A': 7.500476974854096, '國英數A': 27.85602964651457}"
國立彰化師範大學 資訊管理學系資訊管理組,"['英', '數B', '國英數B']","{'英': 11, '數B': 11, '國': 11}",資訊,"{'英': 11.340196799824708, '數B': 11.040399819972489, '國英數B': 32.878907756517066}"
國立彰化師範大學 輔導與諮商學系學校輔導與諮商組,"['國', '國英數B社']","{'國': 11, '英': 11, '數B': 11, '社': 11}",社會心理,"{'國': 14.0, '國英數B社': 45.17323008762043}"
國立彰化師範大學 輔導與諮商學系社區輔導與諮商組,"['國', '國英數B社']","{'國': 11, '英': 11, '數B': 11, '社': 11}",社會心理,"{'國': 13.0, '國英數B社': 45.17323008762043}"
國立彰化師範大學 電子工程學系,"['英數A自', '國英數A自']","{'英': 11, '數A': 11, '自': 11, '國': 11}",工程,"{'英數A自': 34.0, '國英數A自': 43.67636045319312}"
國立彰化師範大學 電機工程學系,"['英', '數A', '自', '英數A']","{'英': 11, '數A': 11, '自': 7}",工程,"{'英': 11.330240594646598, '數A': 13.971627070560531, '自': 6.906484376401322, '英數A': 21.327239542138628}"
國立成功大學 中國文學系,"['國', '英社']","{'國': 15, '英': 14, '社': 14}",文史哲,"{'國': 15.0, '英社': 27.42077315415857}"
國立成功大學 交通管理科學系,"['國自', '英', '數A']","{'國': 11, '自': 11, '英': 13, '數A': 10}",管理,"{'國自': 22.62627012872672, '英': 12.665552625212776, '數A': 9.594855013681071}"
國立成功大學 企業管理學系,['英數B'],"{'英': 13, '數B': 13}",管理,{'英數B': 26.666666666666668}
國立成功大學 光電科學與工程學系,"['數A自', '國英數A自']","{'數A': 12, '自': 12, '國': 12, '英': 12}",工程,"{'數A自': 28.642454030988183, '國英數A自': 46.459969458295895}"
國立成功大學 全校不分系學士學位學程,"['國英', '數A', '自']","{'國': 12, '英': 12, '數A': 13, '自': 12}",跨領域,"{'國英': 23.0, '數A': 12.784139168660072, '自': 12.0}"
國立成功大學 化學工程學系,['英數A自'],"{'英': 13, '數A': 13, '自': 13}",工程,{'英數A自': 37.71428571428572}
國立成功大學 化學系,['自'],{'自': 14},數理化,{'自': 14.0}
國立成功大學 台灣文學系,"['國', '英', '社']","{'國': 13, '英': 11, '社': 11}",文史哲,"{'國': 13.000728085853142, '英': 11.047941400053675, '社': 11.475789339545786}"
國立成功大學 土木工程學系,"['國英', '數A自', '國英數A自']","{'國': 12, '英': 12, '數A': 12, '自': 12}",工程,"{'國英': 23.21757931497073, '數A自': 22.04004087598466, '國英數A自': 49.17841079712786}"
國立成功大學 地球科學系,"['數A', '自']","{'數A': 13, '自': 11}",地球環境,"{'數A': 12.784139168660143, '自': 11.325210115126277}"
國立成功大學 外國語文學系,"['國', '英', '社', '國英社']","{'國': 13, '英': 13, '社': 13}",文史哲,"{'國': 13.0, '英': 14.0, '社': 11.999809601336024, '國英社': 37.90553983716733}"
國立成功大學 工業與資訊管理學系,"['英', '數A', '國英數A']","{'英': 13, '數A': 13, '國': 13}",工程,"{'英': 11.656556174324631, '數A': 9.601234014793684, '國英數A': 38.59940658216655}"
國立成功大學 工業設計學系,['國英數A自'],"{'國': 12, '英': 12, '數A': 12, '自': 12}",工程,{'國英數A自': 49.0}
國立成功大學 工程科學系,"['數A', '自', '國英數A自']","{'數A': 12, '自': 12, '國': 12, '英': 12}",工程,"{'數A': 12.38431687540502, '自': 14.789044924448984, '國英數A自': 48.58577261571663}"
國立成功大學 建築學系,['國英數A自'],"{'國': 12, '英': 12, '數A': 12, '自': 12}",建築設計,{'國英數A自': 50.0}
國立成功大學 心理學系,['英數A自'],"{'英': 12, '數A': 12, '自': 12}",社會心理,{'英數A自': 37.33979383150805}
國立成功大學 政治學系,"['國', '英', '社']","{'國': 13, '英': 13, '社': 13}",法政,"{'國': 13.0, '英': 13.0, '社': 12.55083359728189}"
國立成功大學 數學系,"['英自', '數A', '英數A自']","{'英': 11, '自': 11, '數A': 11}",數理化,"{'英自': 18.59137036763913, '數A': 12.594855013681071, '英數A自': 33.0}"
國立成功大學 會計學系,"['英', '數B', '國英數B社']","{'英': 11, '數B': 11, '國': 11, '社': 11}",管理,"{'英': 14.665552625212776, '數B': 6.91680486456604, '國英數B社': 43.79676760578245}"
國立成功大學 材料科學及工程學系,['英數A自'],"{'英': 13, '數A': 13, '自': 13}",工程,{'英數A自': 40.0}
國立成功大學 機械工程學系,"['英數A自', '國英數A自']","{'英': 12, '數A': 12, '自': 12, '國': 12}",工程,"{'英數A自': 37.29124873509966, '國英數A自': 48.85190376854623}"
國立成功大學 機械工程學系(普渡雙聯組),"['英數A自', '國英數A自']","{'英': 13, '數A': 13, '自': 13, '國': 13}",工程,"{'英數A自': 36.35214292666125, '國英數A自': 51.36789774820775}"
國立成功大學 歷史學系,"['國', '英', '社']","{'國': 13, '英': 11, '社': 14}",文史哲,"{'國': 12.64864752499868, '英': 11.329397416705286, '社': 14.0}"
國立成功大學 水利及海洋工程學系,"['國', '英', '數A', '自']","{'國': 11, '英': 8, '數A': 10, '自': 12}",工程,"{'國': 11.35135247500132, '英': 8.0, '數A': 10.332727849998552, '自': 12.11470178672064}"
國立成功大學 法律學系,"['國', '英', '社']","{'國': 14, '英': 14, '社': 13}",法政,"{'國': 14.0, '英': 14.0, '社': 13.44916640271811}"
國立成功大學 測量及空間資訊學系,['國英數A自'],"{'國': 12, '英': 12, '數A': 12, '自': 12}",資訊,{'國英數A自': 47.36789774820775}
國立成功大學 牙醫學系,"['國英', '數A自', '國英數A自']","{'國': 14, '英': 14, '數A': 14, '自': 14}",醫藥衛生,"{'國英': 28.66514708474394, '數A自': 27.33415263360218, '國英數A自': 57.91235266200802}"
國立成功大學 物理學系,"['英', '數A自']","{'英': 12, '數A': 13, '自': 13}",數理化,"{'英': 12.0, '數A自': 26.0}"
國立成功大學 物理治療學系,"['英', '國英數A自']","{'英': 13, '國': 13, '數A': 13, '自': 13}",醫藥衛生,"{'英': 13.40133390510527, '國英數A自': 51.447233281098136}"
國立成功大學 環境工程學系,"['英數A自', '國英數A自']","{'英': 12, '數A': 12, '自': 12, '國': 12}",工程,"{'英數A自': 34.25, '國英數A自': 46.53488061909012}"
國立成功大學 生命科學系,"['英', '數A', '自']","{'英': 12, '數A': 9, '自': 13}",生命科學,"{'英': 11.664861477789488, '數A': 9.371648471331616, '自': 12.669917264494048}"
國立成功大學 生物科技與產業科學系,"['國', '英', '自']","{'國': 12, '英': 11, '自': 13}",工程,"{'國': 12.296338184462346, '英': 11.295768975025808, '自': 12.920365254175058}"
國立成功大學 生物醫學工程學系,['英數A自'],"{'英': 13, '數A': 13, '自': 13}",醫藥衛生,{'英數A自': 38.33979383150805}
國立成功大學 系統及船舶機電工程學系,"['數A', '自', '國英自']","{'數A': 12, '自': 12, '國': 12, '英': 12}",工程,"{'數A': 11.733333333333333, '自': 11.733333333333333, '國英自': 37.37904772573569}"
國立成功大學 統計學系,"['英', '數A']","{'英': 12, '數A': 12}",管理,"{'英': 12.0, '數A': 11.594855013681071}"
國立成功大學 經濟學系,"['國', '英', '數A']","{'國': 13, '英': 12, '數A': 10}",財經,"{'國': 13.0, '英': 12.344944556842718, '數A': 10.0}"
國立成功大學 職能治療學系,"['英', '自', '國英數A自']","{'英': 12, '自': 12, '國': 12, '數A': 12}",醫藥衛生,"{'英': 13.329397416705286, '自': 12.686016618118035, '國英數A自': 48.15121183905274}"
國立成功大學 能源工程國際學士學位學程,"['英', '數A自', '國英數A自']","{'英': 12, '數A': 12, '自': 12, '國': 12}",工程,"{'英': 11.0, '數A自': 22.0, '國英數A自': 48.68956684613819}"
國立成功大學 航空太空工程學系,"['英', '數A自', '國英數A自']","{'英': 13, '數A': 13, '自': 13, '國': 13}",工程,"{'英': 11.047941400053675, '數A自': 23.68092960087124, '國英數A自': 51.0}"
國立成功大學 藥學系,"['國', '自', '國英數A自']","{'國': 13, '自': 13, '英': 13, '數A': 13}",醫藥衛生,"{'國': 15.0, '自': 14.686016618118035, '國英數A自': 53.91235266200802}"
國立成功大學 護理學系,"['國', '英', '自']","{'國': 11, '英': 13, '自': 11}",醫藥衛生,"{'國': 10.977850188435514, '英': 12.855709150679957, '自': 10.689731591165556}"
國立成功大學 資源工程學系,"['國', '英', '數A', '自', '國英數A自']","{'國': 12, '英': 12, '數A': 12, '自': 12}",工程,"{'國': 12.404915769751334, '英': 10.373604554372614, '數A': 10.0, '自': 11.771329927247852, '國英數A自': 48.1711035900384}"
國立成功大學 資訊工程學系,['英數A自'],"{'英': 14, '數A': 14, '自': 14}",工程,{'英數A自': 41.365186671487216}
國立成功大學 資訊工程學系(普渡雙聯組),['英數A自'],"{'英': 14, '數A': 14, '自': 14}",工程,{'英數A自': 41.40141286909659}
國立成功大學 資訊工程學系(智慧系統組),['英數A'],"{'英': 13, '數A': 13}",工程,{'英數A': 26.0}
國立成功大學 都市計劃學系,"['國英', '數A']","{'國': 11, '英': 11, '數A': 11}",建築設計,"{'國英': 22.0, '數A': 10.594855013681071}"
國立成功大學 醫學檢驗生物技術學系,"['英', '自', '國英數A自']","{'英': 12, '自': 12, '國': 12, '數A': 12}",醫藥衛生,"{'英': 13.665552625212776, '自': 13.11470178672064, '國英數A自': 48.71028237753886}"
國立成功大學 醫學系,"['國', '英', '數A自', '國英數A自']","{'國': 15, '英': 15, '數A': 15, '自': 15}",醫藥衛生,"{'國': 14.186389931249492, '英': 14.846425562920563, '數A自': 29.0, '國英數A自': 59.16336896942968}"
國立成功大學 醫學系(公費生),"['國', '英', '數A自', '國英數A自']","{'國': 14, '英': 14, '數A': 14, '自': 14}",醫藥衛生,"{'國': 13.33119708427706, '英': 13.329397416705286, '數A自': 27.74286207478128, '國英數A自': 56.0}"
國立成功大學 電機工程學系,['英數A自'],"{'英': 14, '數A': 14, '自': 14}",工程,{'英數A自': 42.35436301386743}
國立成功大學 電機工程學系(普渡雙聯組),['英數A自'],"{'英': 14, '數A': 14, '自': 14}",工程,{'英數A自': 42.10568305009407}
國立政治大學 中國文學系,"['國', '英', '社']","{'國': 14, '英': 11, '社': 12}",文史哲,"{'國': 14.0, '英': 11.329397416705286, '社': 12.0}"
國立政治大學 企業管理學系,"['國社', '英數A']","{'國': 11, '社': 11, '英': 11, '數A': 11}",管理,"{'國社': 21.619804857743468, '英數A': 22.78115603090617}"
國立政治大學 傳播學院大一大二不分系(社會組),"['國英', '國英數B社']","{'國': 13, '英': 13, '數B': 13, '社': 13}",社會心理,"{'國英': 27.01272610494251, '國英數B社': 52.20467115956228}"
國立政治大學 傳播學院大一大二不分系(自然組),"['英數A', '國英數A自']","{'英': 12, '數A': 12, '國': 12, '自': 12}",數理化,"{'英數A': 23.185571115449218, '國英數A自': 47.59358270379111}"
國立政治大學 公共行政學系,"['國', '英', '社']","{'國': 14, '英': 13, '社': 14}",法政,"{'國': 14.09891017796502, '英': 13.329397416705286, '社': 14.0}"
國立政治大學 創新國際學院學士班,['數B社'],"{'數B': 12, '社': 12}",管理,{'數B社': 24.0}
國立政治大學 哲學系,"['國', '英', '國英數B社']","{'國': 12, '英': 12, '數B': 12, '社': 12}",文史哲,"{'國': 12.66880291572294, '英': 13.59866609489473, '國英數B社': 46.78008419961317}"
國立政治大學 國際經營與貿易學系,"['國', '英', '數A', '國英數A社']","{'國': 13, '英': 13, '數A': 13, '社': 13}",管理,"{'國': 13.0, '英': 14.0, '數A': 9.594855013681071, '國英數A社': 50.03073362145225}"
國立政治大學 土耳其語文學系,"['國', '英', '社']","{'國': 12, '英': 12, '社': 11}",文史哲,"{'國': 12.312797575542096, '英': 11.661112647556214, '社': 11.355243000660408}"
國立政治大學 地政學系土地測量與資訊組,"['國', '英數A', '國英數A自']","{'國': 11, '英': 11, '數A': 11, '自': 11}",資訊,"{'國': 12.0, '英數A': 20.338286701635543, '國英數A自': 45.15121183905274}"
國立政治大學 地政學系土地管理組,"['國英', '數A', '國英數A社']","{'國': 12, '英': 12, '數A': 12, '社': 12}",管理,"{'國英': 22.96320196971172, '數A': 8.995860310987382, '國英數A社': 47.58156941422609}"
國立政治大學 地政學系土地資源規劃組,"['國', '英數A', '國英數A社']","{'國': 12, '英': 12, '數A': 12, '社': 12}",法政,"{'國': 12.33119708427706, '英數A': 21.338286701635543, '國英數A社': 48.4326958156193}"
國立政治大學 外交學系,['國英社'],"{'國': 14, '英': 14, '社': 14}",法政,{'國英社': 42.0}
國立政治大學 心理學系,"['國', '英', '數A']","{'國': 14, '英': 13, '數A': 10}",社會心理,"{'國': 14.0, '英': 12.670602583294714, '數A': 9.995860310987382}"
國立政治大學 應用數學系,"['數A', '數A自']","{'數A': 12, '自': 12}",數理化,"{'數A': 11.162080308589704, '數A自': 25.0}"
國立政治大學 政治學系,"['英', '社', '英社']","{'英': 14, '社': 14}",法政,"{'英': 13.0, '社': 15.0, '英社': 27.2}"
國立政治大學 教育學系,"['英', '國英數B社']","{'英': 11, '國': 11, '數B': 11, '社': 11}",教育,"{'英': 11.87332743658354, '國英數B社': 45.94524890878852}"
國立政治大學 斯拉夫語文學系,"['國', '英', '社']","{'國': 13, '英': 12, '社': 12}",文史哲,"{'國': 13.09891017796502, '英': 12.329397416705286, '社': 11.89833280543622}"
國立政治大學 日本語文學系,"['國', '英', '社']","{'國': 14, '英': 13, '社': 14}",文史哲,"{'國': 14.0, '英': 13.0, '社': 14.05608985429581}"
國立政治大學 會計學系,"['英數A', '國英數A社']","{'英': 12, '數A': 12, '國': 12, '社': 12}",管理,"{'英數A': 25.0, '國英數A社': 48.0}"
國立政治大學 東南亞語文學系印尼文組,"['國英', '社']","{'國': 12, '英': 12, '社': 12}",文史哲,"{'國英': 23.0, '社': 12.0}"
國立政治大學 東南亞語文學系泰文組,"['國英', '社']","{'國': 13, '英': 13, '社': 12}",文史哲,"{'國英': 26.0, '社': 12.0}"
國立政治大學 東南亞語文學系越文組,"['國英', '社']","{'國': 12, '英': 12, '社': 14}",文史哲,"{'國英': 25.0, '社': 14.0}"
國立政治大學 歐洲語文學系德文組,"['國', '英', '社']","{'國': 13, '英': 13, '社': 13}",外語,"{'國': 13.0, '英': 13.0, '社': 13.0}"
國立政治大學 歐洲語文學系法文組,"['國', '英', '社']","{'國': 13, '英': 13, '社': 13}",外語,"{'國': 13.0, '英': 13.41263776809731, '社': 13.0}"
國立政治大學 歐洲語文學系西班牙文組,"['國', '英', '社']","{'國': 13, '英': 13, '社': 13}",文史哲,"{'國': 13.0, '英': 13.0, '社': 13.321270069378611}"
國立政治大學 歷史學系,"['國', '英', '社']","{'國': 14, '英': 12, '社': 14}",文史哲,"{'國': 13.99591034689601, '英': 12.0, '社': 14.35312879954289}"
國立政治大學 民族學系,"['國英', '社', '國英數B社']","{'國': 12, '英': 12, '社': 12, '數B': 12}",社會心理,"{'國英': 23.0, '社': 13.0, '國英數B社': 48.44444444444444}"
國立政治大學 法律學系,"['國', '英社', '國英數B社']","{'國': 14, '英': 14, '社': 14, '數B': 14}",法政,"{'國': 13.701593225724256, '英社': 26.82797073098229, '國英數B社': 57.45722757402344}"
國立政治大學 社會學系,"['國', '英', '英社']","{'國': 13, '英': 13, '社': 13}",社會心理,"{'國': 12.895716635431477, '英': 11.97423359668779, '英社': 26.666666666666668}"
國立政治大學 統計學系(乙組),"['英', '數A', '國英數A自']","{'英': 12, '數A': 12, '國': 12, '自': 12}",管理,"{'英': 11.41263776809731, '數A': 12.044099291528225, '國英數A自': 49.379133692276376}"
